flight_id,flight_no,airline,date,time,destination,status,status_code,flight_type,last_updated
D0 007_2026-08-19,D0 007,DHK,2026-08-19,21:40,"CVG, EMA",,,departure,2026-08-18T16:40:23+08:00
LH 8467_2026-08-19,LH 8467,GEC,2026-08-19,22:10,FRA,,,departure,2026-08-18T16:40:23+08:00
CX 037_2026-08-19,CX 037,CPA,2026-08-19,23:20,"DEL, CDG",,,departure,2026-08-18T16:40:23+08:00
QR 8479_2026-08-19,QR 8479,QTR,2026-08-19,23:35,DOH,,,departure,2026-08-18T16:40:23+08:00
QF 7526_2026-08-19,QF 7526,QFA,2026-08-19,23:55,SYD,Est at 23:45,,departure,2026-08-18T16:40:23+08:00
CX 050_2026-08-19,CX 050,CPA,2026-08-19,23:55,PVG,,,departure,2026-08-18T16:40:23+08:00
CX 2062_2026-08-19,CX 2062,CPA,2026-08-19,23:55,CTU,,,departure,2026-08-18T16:40:23+08:00
MH 6105_2026-08-18,MH 6105,MAS,2026-08-18,19:25,KUL,Est at 01:20 (20/08/2026),,departure,2026-08-18T17:00:06+08:00
MH 6103_2026-08-19,MH 6103,MAS,2026-08-19,19:40,KUL,Est at 19:40 (20/08/2026),,departure,2026-08-18T17:00:06+08:00
CV 531_2026-08-19,CV 531,CLX,2026-08-19,21:10,"ASB, LUX",Est at 00:15 (20/08/2026),,departure,2026-08-18T17:00:06+08:00
SV 963_2026-08-19,SV 963,SVA,2026-08-19,21:35,RUH,Est at 14:30 (20/08/2026),,departure,2026-08-18T17:00:06+08:00
RH 4568_2026-08-20,RH 4568,HKC,2026-08-20,00:15,TPE,,,departure,2026-08-18T17:00:06+08:00
CX 006_2026-08-20,CX 006,CPA,2026-08-20,00:50,NRT,,,departure,2026-08-18T17:00:06+08:00
CX 086_2026-08-20,CX 086,CPA,2026-08-20,01:30,"ANC, NLU",,,departure,2026-08-18T17:00:06+08:00
CX 3170_2026-08-20,CX 3170,CPA,2026-08-20,01:50,"ANC, MIA, IAH",,,departure,2026-08-18T17:00:06+08:00
CP 114_2026-08-20,CP 114,LSI,2026-08-20,02:05,"GYD, MXP",,,departure,2026-08-18T17:00:06+08:00
TK 6265_2026-08-20,TK 6265,THY,2026-08-20,02:05,IST,,,departure,2026-08-18T17:00:06+08:00
KZ 202_2026-08-20,KZ 202,NCA,2026-08-20,02:25,NRT,,,departure,2026-08-18T17:00:06+08:00
NH 8512_2026-08-20,NH 8512,ANA,2026-08-20,02:25,NRT,,,departure,2026-08-18T17:00:06+08:00
KJ 972_2026-08-20,KJ 972,AIH,2026-08-20,02:30,ICN,,,departure,2026-08-18T17:00:06+08:00
EK 9785_2026-08-20,EK 9785,UAE,2026-08-20,02:45,DWC,,,departure,2026-08-18T17:00:06+08:00
CI 5836_2026-08-20,CI 5836,CAL,2026-08-20,03:00,TPE,Est at 05:30,,departure,2026-08-18T17:00:06+08:00
CX 3254_2026-08-20,CX 3254,CPA,2026-08-20,03:10,PVG,,,departure,2026-08-18T17:00:06+08:00
KE 314_2026-08-20,KE 314,KAL,2026-08-20,03:10,ICN,,,departure,2026-08-18T17:00:06+08:00
LD 204_2026-08-20,LD 204,AHK,2026-08-20,03:15,KIX,,,departure,2026-08-18T17:00:06+08:00
LD 128_2026-08-20,LD 128,AHK,2026-08-20,03:20,ICN,,,departure,2026-08-18T17:00:06+08:00
BR 6536_2026-08-20,BR 6536,EVA,2026-08-20,03:20,TPE,,,departure,2026-08-18T17:00:06+08:00
LD 208_2026-08-20,LD 208,AHK,2026-08-20,03:25,NRT,,,departure,2026-08-18T17:00:06+08:00
LD 327_2026-08-20,LD 327,AHK,2026-08-20,03:25,SIN,,,departure,2026-08-18T17:00:06+08:00
LD 768_2026-08-20,LD 768,AHK,2026-08-20,03:25,PEK,,,departure,2026-08-18T17:00:06+08:00
LD 216_2026-08-20,LD 216,AHK,2026-08-20,03:30,NGO,,,departure,2026-08-18T17:00:06+08:00
8K 526_2026-08-20,8K 526,KMI,2026-08-20,03:30,BKK,,,departure,2026-08-18T17:00:06+08:00
LD 457_2026-08-20,LD 457,AHK,2026-08-20,03:35,"MNL, CEB",,,departure,2026-08-18T17:00:06+08:00
LD 782_2026-08-20,LD 782,AHK,2026-08-20,03:40,PVG,,,departure,2026-08-18T17:00:06+08:00
LD 831_2026-08-20,LD 831,AHK,2026-08-20,03:40,BKK,,,departure,2026-08-18T17:00:06+08:00
LD 561_2026-08-20,LD 561,AHK,2026-08-20,03:45,SGN,,,departure,2026-08-18T17:00:06+08:00
