==> past_data/changed_flights_2026-06-01.csv <==
5Y 8523_2026-06-04,5Y 8523,GTI,2026-06-04,18:30,"ANC, ORD",Cancelled,,departure,
QR 8471_2026-06-04,QR 8471,QTR,2026-06-04,18:40,DOH,Cancelled,,departure,
7L 147_2026-06-04,7L 147,AZG,2026-06-04,20:25,GYD,Cancelled,,departure,
SV 3961_2026-06-04,SV 3961,SVA,2026-06-04,21:15,DMM,Cancelled,,departure,
7L 692_2026-06-04,7L 692,AZG,2026-06-04,21:20,GYD,Cancelled,,departure,
EK 9011_2026-06-04,EK 9011,UAE,2026-06-04,21:25,DWC,Cancelled,,departure,
SR 813_2026-06-04,SR 813,XKY,2026-06-04,23:00,KTI,Cancelled,,departure,
3G 801_2026-06-05,3G 801,WCM,2026-06-05,00:30,KUL,Cancelled,,departure,
ET 3039_2026-06-05,ET 3039,ETH,2026-06-05,01:35,ADD,Cancelled,,departure,
JL 6782_2026-06-05,JL 6782,JAL,2026-06-05,02:20,NRT,Cancelled,,departure,
EK 9037_2026-06-05,EK 9037,UAE,2026-06-05,04:00,DWC,Cancelled,,departure,
ET 3769_2026-06-05,ET 3769,ETH,2026-06-05,05:00,"EMA, IST",Cancelled,,departure,
ET 3035_2026-06-05,ET 3035,ETH,2026-06-05,06:55,ADD,Cancelled,,departure,
5Y 5528_2026-06-05,5Y 5528,GTI,2026-06-05,07:00,ICN,Cancelled,,departure,
HE 985_2026-06-05,HE 985,HGO,2026-06-05,08:55,SHJ,Cancelled,,departure,
QY 539_2026-06-05,QY 539,BCS,2026-06-05,10:00,"ALA, LEJ",Cancelled,,departure,
EK 9025_2026-06-05,EK 9025,UAE,2026-06-05,10:55,DWC,Cancelled,,departure,
SE 1105_2026-06-05,SE 1105,SVI,2026-06-05,14:00,"CCU, RKT, CAI, MST",Delayed,,departure,
WW 862_2026-06-05,WW 862,KXP,2026-06-05,15:20,KUL,Cancelled,,departure,
EK 9239_2026-06-05,EK 9239,UAE,2026-06-05,15:35,DWC,Cancelled,,departure,
EK 9843_2026-06-05,EK 9843,UAE,2026-06-05,15:35,DWC,Cancelled,,departure,
EK 9283_2026-06-05,EK 9283,UAE,2026-06-05,16:50,DWC,Cancelled,,departure,
7L 247_2026-06-05,7L 247,AZG,2026-06-05,18:10,GYD,Cancelled,,departure,
7L 572_2026-06-05,7L 572,AZG,2026-06-05,18:35,GYD,Cancelled,,departure,
EK 9881_2026-06-05,EK 9881,UAE,2026-06-05,18:35,DWC,Cancelled,,departure,
AK 8542_2026-06-05,AK 8542,AXM,2026-06-05,19:45,KUL,Cancelled,,departure,
SV 977_2026-06-05,SV 977,SVA,2026-06-05,19:45,JED,Cancelled,,departure,
F5 6505_2026-06-05,F5 6505,ATG,2026-06-05,20:30,SHJ,Cancelled,,departure,
EK 9011_2026-06-05,EK 9011,UAE,2026-06-05,21:25,DWC,Cancelled,,departure,
C6 7632_2026-06-05,C6 7632,MFX,2026-06-05,23:00,TAS,Cancelled,,departure,
3G 801_2026-06-06,3G 801,WCM,2026-06-06,00:30,KUL,Cancelled,,departure,
SV 983_2026-06-06,SV 983,SVA,2026-06-06,02:25,RUH,Cancelled,,departure,
TC 503_2026-06-06,TC 503,ATC,2026-06-06,04:10,MCT,Cancelled,,departure,
HE 775_2026-06-06,HE 775,HGO,2026-06-06,06:55,"CIT, EMA",Cancelled,,departure,
CC 4800_2026-06-06,CC 4800,ABD,2026-06-06,07:00,CMB,Cancelled,,departure,
ET 3601_2026-06-06,ET 3601,ETH,2026-06-06,07:10,ADD,Cancelled,,departure,
MB 578_2026-06-06,MB 578,MNB,2026-06-06,09:30,"SHJ, IST",Cancelled,,departure,
D0 593_2026-06-06,D0 593,DHK,2026-06-06,11:55,"DEL, EMA",Cancelled,,departure,
MH 6104_2026-06-06,MH 6104,MAS,2026-06-06,13:20,KUL,Cancelled,,departure,
D0 897_2026-06-06,D0 897,DHK,2026-06-06,14:15,BAH,Cancelled,,departure,
7L 624_2026-06-06,7L 624,AZG,2026-06-06,18:25,GYD,Cancelled,,departure,
7L 648_2026-06-06,7L 648,AZG,2026-06-06,21:55,GYD,Cancelled,,departure,
C6 7632_2026-06-06,C6 7632,MFX,2026-06-06,23:00,TAS,Cancelled,,departure,
QR 8437_2026-06-07,QR 8437,QTR,2026-06-07,03:35,DOH,Cancelled,,departure,
ET 3769_2026-06-07,ET 3769,ETH,2026-06-07,03:50,"EMA, OSL",Cancelled,,departure,
QR 8421_2026-06-07,QR 8421,QTR,2026-06-07,04:05,DOH,Cancelled,,departure,
Y9 2568_2026-06-07,Y9 2568,SGA,2026-06-07,05:40,"DEL, ISU",Cancelled,,departure,
QY 651_2026-06-07,QY 651,BCS,2026-06-07,06:30,"BAH, LEJ",Cancelled,,departure,
MB 578_2026-06-07,MB 578,MNB,2026-06-07,06:40,"NVI, IST",Cancelled,,departure,
QR 8417_2026-06-07,QR 8417,QTR,2026-06-07,08:45,DOH,Cancelled,,departure,
F5 7607_2026-06-07,F5 7607,ATG,2026-06-07,09:20,DWC,Cancelled,,departure,
D0 511_2026-06-07,D0 511,DHK,2026-06-07,09:30,"LEJ, EMA",Cancelled,,departure,
Z7 322_2026-06-07,Z7 322,CMS,2026-06-07,11:00,"ALA, TBS",Cancelled,,departure,
SE 1105_2026-06-07,SE 1105,SVI,2026-06-07,11:45,"CCU, RKT, CAI, WAW",Cancelled,,departure,
5Y 5579_2026-06-07,5Y 5579,GTI,2026-06-07,13:20,ICN,Cancelled,,departure,
CC 4100_2026-06-07,CC 4100,ABD,2026-06-07,14:00,KGF,Cancelled,,departure,
5Y 8373_2026-06-07,5Y 8373,GTI,2026-06-07,15:00,"ANC, MIA",Cancelled,,departure,
3S 517_2026-06-07,3S 517,BOX,2026-06-07,17:10,LEJ,Cancelled,,departure,
7L 923_2026-06-07,7L 923,AZG,2026-06-07,17:20,GYD,Cancelled,,departure,
CC 4030_2026-06-07,CC 4030,ABD,2026-06-07,18:00,CMB,Cancelled,,departure,
QR 8475_2026-06-07,QR 8475,QTR,2026-06-07,18:15,DOH,Cancelled,,departure,
7L 621_2026-06-07,7L 621,AZG,2026-06-07,18:25,GYD,Cancelled,,departure,
5Y 8007_2026-06-07,5Y 8007,GTI,2026-06-07,19:55,IST,Cancelled,,departure,
5Y 8523_2026-06-07,5Y 8523,GTI,2026-06-07,21:05,"ANC, ORD",Cancelled,,departure,
3G 807_2026-06-07,3G 807,WCM,2026-06-07,21:05,KUL,Cancelled,,departure,
5Y 3589_2026-06-07,5Y 3589,GTI,2026-06-07,21:20,TLV,Cancelled,,departure,
7L 692_2026-06-07,7L 692,AZG,2026-06-07,21:20,GYD,Cancelled,,departure,
AK 8535_2026-06-07,AK 8535,AXM,2026-06-07,21:55,KUL,Cancelled,,departure,
EY 948_2026-06-08,EY 948,ETD,2026-06-08,00:15,AUH,Cancelled,,departure,
ET 3767_2026-06-08,ET 3767,ETH,2026-06-08,00:40,LGG,Cancelled,,departure,
CK 264_2026-06-08,CK 264,CKK,2026-06-08,07:00,CKG,Cancelled,,departure,
ET 3035_2026-06-08,ET 3035,ETH,2026-06-08,09:30,ADD,Cancelled,,departure,
CV 753_2026-06-08,CV 753,CLX,2026-06-08,11:35,"NQZ, LUX",Cancelled,,departure,
5Y 8373_2026-06-08,5Y 8373,GTI,2026-06-08,12:05,"ANC, MIA",Cancelled,,departure,
