flight_id,flight_no,airline,date,time,origin,status,status_code,flight_type,last_updated
ET 3708_2026-09-06,ET 3708,ETH,2026-09-06,22:10,LGG,Cancelled,,,2026-09-07T16:13:40+08:00
EY 947_2026-09-06,EY 947,ETD,2026-09-06,22:20,AUH,At gate 22:10,,,2026-09-07T16:13:40+08:00
CV 7956_2026-09-06,CV 7956,CLX,2026-09-06,22:40,"LUX,ASB,HAN",At gate 22:51,,,2026-09-07T16:13:40+08:00
TH 642_2026-09-06,TH 642,RMY,2026-09-06,23:00,BKI,At gate 22:24,,,2026-09-07T16:13:40+08:00
TK 6256_2026-09-06,TK 6256,THY,2026-09-06,23:40,"IST,RUH",At gate 23:54,,,2026-09-07T16:13:40+08:00
RH 9493_2026-09-04,RH 9493,HKC,2026-09-04,06:20,"ALA,IST",Dep 15:12 (06/09/2026),,,2026-09-07T16:11:06+08:00
5Y 8139_2026-09-04,5Y 8139,GTI,2026-09-04,17:55,"DEL,ANC",Dep 04:29 (06/09/2026),,,2026-09-07T16:11:06+08:00
ET 3219_2026-09-05,ET 3219,ETH,2026-09-05,02:40,ADD,Dep 06:21 (06/09/2026),,,2026-09-07T16:11:06+08:00
QR 8403_2026-09-05,QR 8403,QTR,2026-09-05,05:15,DOH,Dep 02:09 (06/09/2026),,,2026-09-07T16:11:06+08:00
CX 3549_2026-09-05,CX 3549,CPA,2026-09-05,08:05,BKK,Dep 09:14 (06/09/2026),,,2026-09-07T16:11:06+08:00
5Y 8052_2026-09-05,5Y 8052,GTI,2026-09-05,12:30,"ANC,MIA",Dep 05:58 (06/09/2026),,,2026-09-07T16:11:06+08:00
TK 6651_2026-09-05,TK 6651,THY,2026-09-05,12:55,"CIT,IST",Dep 03:07 (06/09/2026),,,2026-09-07T16:11:06+08:00
5Y 8137_2026-09-05,5Y 8137,GTI,2026-09-05,17:15,"DEL,ANC",Cancelled,,,2026-09-07T16:11:06+08:00
CX 067_2026-09-05,CX 067,CPA,2026-09-05,21:50,"NQZ,FRA",Dep 04:04 (06/09/2026),,,2026-09-07T16:11:06+08:00
CX 3262_2026-09-05,CX 3262,CPA,2026-09-05,22:00,CKG,Dep 04:36 (06/09/2026),,,2026-09-07T16:11:06+08:00
CX 3238_2026-09-05,CX 3238,CPA,2026-09-05,23:10,XMN,Dep 05:42 (06/09/2026),,,2026-09-07T16:11:06+08:00
CX 054_2026-09-05,CX 054,CPA,2026-09-05,23:30,PVG,Dep 09:29 (06/09/2026),,,2026-09-07T16:11:06+08:00
ET 3785_2026-09-06,ET 3785,ETH,2026-09-06,00:15,"MCT,MAD",Cancelled,,,2026-09-07T16:11:06+08:00
HE 1710_2026-09-06,HE 1710,HGO,2026-09-06,00:15,GYD,Cancelled,,,2026-09-07T16:11:06+08:00
3G 801_2026-09-06,3G 801,WCM,2026-09-06,00:30,KUL,Dep 07:25,,,2026-09-07T16:11:06+08:00
CV 597_2026-09-06,CV 597,CLX,2026-09-06,00:35,"ASB,LUX",Dep 02:06,,,2026-09-07T16:11:06+08:00
CX 006_2026-09-06,CX 006,CPA,2026-09-06,00:50,NRT,Dep 00:59,,,2026-09-07T16:11:06+08:00
MB 530_2026-09-06,MB 530,MNB,2026-09-06,01:30,"NVI,IST",Dep 07:04,,,2026-09-07T16:11:06+08:00
CX 096_2026-09-06,CX 096,CPA,2026-09-06,01:30,"ANC,NLU",Dep 01:28,,,2026-09-07T16:11:06+08:00
2U 8051_2026-09-06,2U 8051,FKH,2026-09-06,01:40,"NQZ,RIX",Dep 04:47,,,2026-09-07T16:11:06+08:00
K4 704_2026-09-06,K4 704,CKS,2026-09-06,02:00,"GYD,TLV",Dep 02:42,,,2026-09-07T16:11:06+08:00
QR 8465_2026-09-06,QR 8465,QTR,2026-09-06,02:20,DOH,Dep 02:28,,,2026-09-07T16:11:06+08:00
KZ 202_2026-09-06,KZ 202,NCA,2026-09-06,02:25,NRT,Dep 02:29,,,2026-09-07T16:11:06+08:00
5X 063_2026-09-06,5X 063,UPS,2026-09-06,02:35,"ANC,SDF",Dep 02:28,,,2026-09-07T16:11:06+08:00
QR 8419_2026-09-06,QR 8419,QTR,2026-09-06,02:40,DOH,Dep 06:07,,,2026-09-07T16:11:06+08:00
EK 9861_2026-09-06,EK 9861,UAE,2026-09-06,02:55,DWC,Dep 09:22,,,2026-09-07T16:11:06+08:00
CI 5826_2026-09-06,CI 5826,CAL,2026-09-06,03:00,TPE,Dep 03:06,,,2026-09-07T16:11:06+08:00
TK 6651_2026-09-06,TK 6651,THY,2026-09-06,03:10,"CIT,IST",Cancelled,,,2026-09-07T16:11:06+08:00
RH 4568_2026-09-06,RH 4568,HKC,2026-09-06,03:10,TPE,Dep 19:22,,,2026-09-07T16:11:06+08:00
KE 314_2026-09-06,KE 314,KAL,2026-09-06,03:10,ICN,Dep 03:17,,,2026-09-07T16:11:06+08:00
5X 001_2026-09-06,5X 001,UPS,2026-09-06,03:15,"BLR,CGN,PHL",Dep 03:16,,,2026-09-07T16:11:06+08:00
LD 457_2026-09-06,LD 457,AHK,2026-09-06,03:35,"MNL,CEB",Dep 03:35,,,2026-09-07T16:11:06+08:00
LD 768_2026-09-06,LD 768,AHK,2026-09-06,03:35,PEK,Dep 03:32,,,2026-09-07T16:11:06+08:00
LD 831_2026-09-06,LD 831,AHK,2026-09-06,03:40,BKK,Dep 03:42,,,2026-09-07T16:11:06+08:00
8K 526_2026-09-06,8K 526,KMI,2026-09-06,03:40,BKK,Dep 03:37,,,2026-09-07T16:11:06+08:00
ET 3769_2026-09-06,ET 3769,ETH,2026-09-06,03:50,"EMA,ADD",Cancelled,,,2026-09-07T16:11:06+08:00
LD 216_2026-09-06,LD 216,AHK,2026-09-06,03:55,NGO,Dep 04:13,,,2026-09-07T16:11:06+08:00
LD 327_2026-09-06,LD 327,AHK,2026-09-06,03:55,SIN,Dep 04:02,,,2026-09-07T16:11:06+08:00
LD 204_2026-09-06,LD 204,AHK,2026-09-06,04:00,KIX,Dep 04:23,,,2026-09-07T16:11:06+08:00
