flight_id,flight_no,airline,date,time,port,status,status_code,flight_type,last_updated
EK 9798_2026-09-08,EK 9798,UAE,2026-09-08,15:30,DWC,Est at 17:27,,arrival,2026-09-08T11:45:35+08:00
5Y 4351_2026-09-08,5Y 4351,GTI,2026-09-08,15:40,"LGG,TBS",Cancelled,,arrival,2026-09-08T11:45:35+08:00
2C 560_2026-09-08,2C 560,CMA,2026-09-08,15:50,CDG,Est at 16:45,,arrival,2026-09-08T11:45:35+08:00
7L 246_2026-09-08,7L 246,AZG,2026-09-08,16:00,GYD,Cancelled,,arrival,2026-09-08T11:45:35+08:00
7L 571_2026-09-08,7L 571,AZG,2026-09-08,16:05,GYD,Cancelled,,arrival,2026-09-08T11:45:35+08:00
C8 9261_2026-09-08,C8 9261,ICV,2026-09-08,16:20,MXP,Est at 15:55,,arrival,2026-09-08T11:45:35+08:00
EK 9846_2026-09-08,EK 9846,UAE,2026-09-08,16:25,DWC,Est at 18:06,,arrival,2026-09-08T11:45:35+08:00
CP 192_2026-09-08,CP 192,LSI,2026-09-08,16:30,OTP,Est at 15:55,,arrival,2026-09-08T11:45:35+08:00
SQ 7922_2026-09-08,SQ 7922,SIA,2026-09-08,16:40,SIN,,,arrival,2026-09-08T11:45:35+08:00
RH 393_2026-09-08,RH 393,HKC,2026-09-08,16:40,BUD,Cancelled,,arrival,2026-09-08T11:45:35+08:00
TK 6327_2026-09-08,TK 6327,THY,2026-09-08,16:50,"IST,DWC",Est at 12:30 (09/09/2026),,arrival,2026-09-08T11:45:35+08:00
FX 5991_2026-09-08,FX 5991,FDX,2026-09-08,17:10,ICN,Est at 16:59,,arrival,2026-09-08T11:45:35+08:00
CI 5837_2026-09-08,CI 5837,CAL,2026-09-08,17:20,TPE,,,arrival,2026-09-08T11:45:35+08:00
TK 6218_2026-09-08,TK 6218,THY,2026-09-08,17:30,"IST,DWC",Est at 16:58,,arrival,2026-09-08T11:45:35+08:00
SQ 7354_2026-09-08,SQ 7354,SIA,2026-09-08,17:30,SIN,,,arrival,2026-09-08T11:45:35+08:00
MH 6104_2026-09-08,MH 6104,MAS,2026-09-08,17:50,"KUL,LBU",Est at 19:25,,arrival,2026-09-08T11:45:35+08:00
RH 372_2026-09-08,RH 372,HKC,2026-09-08,17:55,SIN,Est at 23:25,,arrival,2026-09-08T11:45:35+08:00
N8 530_2026-09-08,N8 530,NCR,2026-09-08,18:00,ANC,Est at 20:34,,arrival,2026-09-08T11:45:35+08:00
CX 3291_2026-09-08,CX 3291,CPA,2026-09-08,18:20,"ATL,ANC",Est at 19:56,,arrival,2026-09-08T11:45:35+08:00
TH 640_2026-09-08,TH 640,RMY,2026-09-08,18:40,BKI,Est at 16:55,,arrival,2026-09-08T11:45:35+08:00
5Y 3411_2026-09-08,5Y 3411,GTI,2026-09-08,18:45,LAX,Cancelled,,arrival,2026-09-08T11:45:35+08:00
K4 202_2026-09-08,K4 202,CKS,2026-09-08,19:40,"CVG,NRT",,,arrival,2026-09-08T11:45:35+08:00
EK 9832_2026-09-08,EK 9832,UAE,2026-09-08,19:50,DWC,Est at 18:35,,arrival,2026-09-08T11:45:35+08:00
7L 647_2026-09-08,7L 647,AZG,2026-09-08,19:55,GYD,Cancelled,,arrival,2026-09-08T11:45:35+08:00
CX 3295_2026-09-08,CX 3295,CPA,2026-09-08,20:05,JFK,Est at 03:49 (09/09/2026),,arrival,2026-09-08T11:45:35+08:00
N8 528_2026-09-08,N8 528,NCR,2026-09-08,20:10,ANC,Est at 20:41,,arrival,2026-09-08T11:45:35+08:00
7L 922_2026-09-08,7L 922,AZG,2026-09-08,20:30,"GYD,DMM",Est at 19:58,,arrival,2026-09-08T11:45:35+08:00
QR 8514_2026-09-08,QR 8514,QTR,2026-09-08,20:40,"DOH,MCT",,,arrival,2026-09-08T11:45:35+08:00
ET 3708_2026-09-08,ET 3708,ETH,2026-09-08,20:55,LGG,Cancelled,,arrival,2026-09-08T11:45:35+08:00
CX 097_2026-09-08,CX 097,CPA,2026-09-08,21:15,"NLU,GDL,ANC",Est at 23:59,,arrival,2026-09-08T11:45:35+08:00
ET 3032_2026-09-08,ET 3032,ETH,2026-09-08,21:25,ADD,Cancelled,,arrival,2026-09-08T11:45:35+08:00
ET 3446_2026-09-08,ET 3446,ETH,2026-09-08,21:25,ADD,Cancelled,,arrival,2026-09-08T11:45:35+08:00
K4 221_2026-09-08,K4 221,CKS,2026-09-08,21:35,MXP,Est at 21:23,,arrival,2026-09-08T11:45:35+08:00
SR 812_2026-09-08,SR 812,XKY,2026-09-08,21:45,CRK,,,arrival,2026-09-08T11:45:35+08:00
K4 285_2026-09-08,K4 285,CKS,2026-09-08,22:55,"CVG,LEJ",Est at 23:20,,arrival,2026-09-08T11:45:35+08:00
3G 800_2026-09-08,3G 800,WCM,2026-09-08,23:00,BKI,Cancelled,,arrival,2026-09-08T11:45:35+08:00
QR 8440_2026-09-08,QR 8440,QTR,2026-09-08,23:00,DOH,,,arrival,2026-09-08T11:45:35+08:00
SV 982_2026-09-08,SV 982,SVA,2026-09-08,23:10,DMM,Est at 01:20 (09/09/2026),,arrival,2026-09-08T11:45:35+08:00
MB 6021_2026-09-08,MB 6021,MNB,2026-09-08,23:20,SHJ,,,arrival,2026-09-08T11:45:35+08:00
CX 2015_2026-09-08,CX 2015,CPA,2026-09-08,23:25,TPE,,,arrival,2026-09-08T11:45:35+08:00
CX 3069_2026-09-08,CX 3069,CPA,2026-09-08,23:45,"ORD,ANC",,,arrival,2026-09-08T11:45:35+08:00
KZ 203_2026-09-09,KZ 203,NCA,2026-09-09,00:10,NRT,Est at 23:10 (08/09/2026),,arrival,2026-09-08T11:45:35+08:00
