flight_id,flight_no,airline,date,time,port,status,status_code,flight_type,last_updated
MH 6102_2026-06-10,MH 6102,MAS,2026-06-10,17:40,"KUL,KCH",At gate 17:29,,arrival,
RH 372_2026-06-10,RH 372,HKC,2026-06-10,17:55,SIN,At gate 22:28,,arrival,
AK 8545_2026-06-10,AK 8545,AXM,2026-06-10,18:15,BKI,At gate 21:02,,arrival,
CX 2074_2026-06-10,CX 2074,CPA,2026-06-10,18:35,SIN,At gate 18:42,,arrival,
TH 6824_2026-06-10,TH 6824,RMY,2026-06-10,18:40,BKI,At gate 18:45,,arrival,
CI 5833_2026-06-10,CI 5833,CAL,2026-06-10,19:20,TPE,At gate 19:17,,arrival,
D0 705_2026-06-10,D0 705,DHK,2026-06-10,19:40,"EMA,LEJ,CVG,BAH",Cancelled,,arrival,
SV 962_2026-06-10,SV 962,SVA,2026-06-10,19:50,RUH,Cancelled,,arrival,
QF 7525_2026-06-10,QF 7525,QFA,2026-06-10,19:55,SYD,At gate 20:00,,arrival,
TK 6238_2026-06-10,TK 6238,THY,2026-06-10,20:00,"IST,TBS",At gate 19:50,,arrival,
AK 8534_2026-06-10,AK 8534,AXM,2026-06-10,20:25,KCH,At gate 22:34,,arrival,
WW 108_2026-06-10,WW 108,KXP,2026-06-10,20:50,BKI,Cancelled,,arrival,
K4 254_2026-06-10,K4 254,CKS,2026-06-10,21:15,"CVG,NGO",At gate 21:24,,arrival,
RH 318_2026-06-10,RH 318,HKC,2026-06-10,21:35,HAN,At gate 12:06 (11/06/2026),,arrival,
D0 011_2026-06-10,D0 011,DHK,2026-06-10,21:35,"EMA,MXP",At gate 06:58 (11/06/2026),,arrival,
D0 528_2026-06-10,D0 528,DHK,2026-06-10,21:35,"EMA,MXP",Cancelled,,arrival,
RH 9458_2026-06-10,RH 9458,HKC,2026-06-10,21:35,DEL,At gate 07:32 (11/06/2026),,arrival,
BR 6529_2026-06-10,BR 6529,EVA,2026-06-10,21:35,TPE,At gate 21:30,,arrival,
CV 7332_2026-06-10,CV 7332,CLX,2026-06-10,22:15,"LUX,BKK",Cancelled,,arrival,
CX 3036_2026-06-10,CX 3036,CPA,2026-06-10,22:35,HAN,At gate 23:12,,arrival,
3G 800_2026-06-10,3G 800,WCM,2026-06-10,22:55,BKI,Cancelled,,arrival,
MB 300_2026-06-10,MB 300,MNB,2026-06-10,23:00,SHJ,Cancelled,,arrival,
MS 509_2026-06-10,MS 509,MSR,2026-06-10,23:00,CAI,At gate 23:20,,arrival,
3S 502_2026-06-10,3S 502,BOX,2026-06-10,23:15,LEJ,At gate 23:06,,arrival,
ET 3785_2026-06-10,ET 3785,ETH,2026-06-10,00:00,"MCT,MAD,ADD",Dep 23:54,,departure,
ET 3791_2026-06-10,ET 3791,ETH,2026-06-10,00:00,LGG,Cancelled,,departure,
RH 4568_2026-06-10,RH 4568,HKC,2026-06-10,00:15,TPE,Dep 00:55,,departure,
RH 829_2026-06-10,RH 829,HKC,2026-06-10,00:15,PVG,Dep 07:40,,departure,
3G 801_2026-06-10,3G 801,WCM,2026-06-10,00:30,KUL,Cancelled,,departure,
QR 8429_2026-06-10,QR 8429,QTR,2026-06-10,00:35,DOH,Dep 04:52,,departure,
QR 8441_2026-06-10,QR 8441,QTR,2026-06-10,00:40,DOH,Dep 00:55,,departure,
CX 006_2026-06-10,CX 006,CPA,2026-06-10,00:50,NRT,Dep 01:19,,departure,
MS 510_2026-06-10,MS 510,MSR,2026-06-10,01:00,BKK,Cancelled,,departure,
KZ 202_2026-06-10,KZ 202,NCA,2026-06-10,01:25,NRT,Dep 01:46,,departure,
CX 096_2026-06-10,CX 096,CPA,2026-06-10,01:30,"ANC,NLU",Dep 05:36,,departure,
QR 8439_2026-06-10,QR 8439,QTR,2026-06-10,02:00,DOH,Dep 01:58,,departure,
JL 6782_2026-06-10,JL 6782,JAL,2026-06-10,02:20,NRT,Dep 02:16,,departure,
NH 8512_2026-06-10,NH 8512,ANA,2026-06-10,02:25,NRT,Dep 02:23,,departure,
KJ 974_2026-06-10,KJ 974,AIH,2026-06-10,02:40,ICN,Dep 02:37,,departure,
CI 5826_2026-06-10,CI 5826,CAL,2026-06-10,03:00,TPE,Dep 02:43,,departure,
KE 314_2026-06-10,KE 314,KAL,2026-06-10,03:10,ICN,Dep 03:11,,departure,
EK 9861_2026-06-10,EK 9861,UAE,2026-06-10,03:10,DWC,Dep 03:02,,departure,
LD 204_2026-06-10,LD 204,AHK,2026-06-10,03:15,KIX,Dep 03:15,,departure,
LD 128_2026-06-10,LD 128,AHK,2026-06-10,03:20,ICN,Dep 03:20,,departure,
BR 6538_2026-06-10,BR 6538,EVA,2026-06-10,03:20,TPE,Dep 03:01,,departure,
LD 208_2026-06-10,LD 208,AHK,2026-06-10,03:25,NRT,Dep 03:40,,departure,
LD 327_2026-06-10,LD 327,AHK,2026-06-10,03:25,SIN,Dep 03:26,,departure,
LD 768_2026-06-10,LD 768,AHK,2026-06-10,03:25,PEK,Dep 03:31,,departure,
LD 216_2026-06-10,LD 216,AHK,2026-06-10,03:30,NGO,Dep 03:31,,departure,
8K 526_2026-06-10,8K 526,KMI,2026-06-10,03:30,BKK,Dep 03:48,,departure,
LD 457_2026-06-10,LD 457,AHK,2026-06-10,03:35,"MNL,CEB",Dep 03:38,,departure,
LD 782_2026-06-10,LD 782,AHK,2026-06-10,03:40,PVG,Dep 03:55,,departure,
LD 831_2026-06-10,LD 831,AHK,2026-06-10,03:40,BKK,Dep 03:38,,departure,
LD 561_2026-06-10,LD 561,AHK,2026-06-10,03:45,SGN,Dep 03:49,,departure,
TH 3508_2026-06-10,TH 3508,RMY,2026-06-10,03:45,KUL,Dep 03:53,,departure,
WW 891_2026-06-10,WW 891,KXP,2026-06-10,03:55,KUL,Cancelled,,departure,
3S 500_2026-06-10,3S 500,BOX,2026-06-10,04:00,LAX,Dep 04:09,,departure,
3Y 6011_2026-06-10,3Y 6011,MYU,2026-06-10,04:00,CGK,Dep 04:19,,departure,
HJ 022_2026-06-10,HJ 022,TMN,2026-06-10,04:00,SYD,Dep 04:04,,departure,
LD 720_2026-06-10,LD 720,AHK,2026-06-10,04:05,CTU,Dep 04:03,,departure,
QR 8421_2026-06-10,QR 8421,QTR,2026-06-10,04:05,DOH,Dep 04:02,,departure,
ET 3366_2026-06-10,ET 3366,ETH,2026-06-10,04:15,"BUD,ADD",Dep 05:31,,departure,
TH 3091_2026-06-10,TH 3091,RMY,2026-06-10,04:15,PEN,Dep 05:24,,departure,
LD 680_2026-06-10,LD 680,AHK,2026-06-10,04:20,TPE,Dep 04:26,,departure,
TK 6351_2026-06-10,TK 6351,THY,2026-06-10,04:20,IST,Dep 04:18,,departure,
CX 2090_2026-06-10,CX 2090,CPA,2026-06-10,04:25,"ANC,DFW,LAX",Dep 08:10,,departure,
K4 287_2026-06-10,K4 287,CKS,2026-06-10,05:00,"ANC,CVG",Dep 16:47,,departure,
EK 9831_2026-06-10,EK 9831,UAE,2026-06-10,05:00,DWC,Dep 09:29,,departure,
3S 713_2026-06-10,3S 713,BOX,2026-06-10,05:35,"DXB,LEJ",Dep 05:47,,departure,
3S 735_2026-06-10,3S 735,BOX,2026-06-10,05:40,"BLR,LEJ",Dep 06:51,,departure,
ES 728_2026-06-10,ES 728,DHX,2026-06-10,05:40,BAH,Dep 06:03,,departure,
3S 707_2026-06-10,3S 707,BOX,2026-06-10,05:45,"BAH,LEJ",Dep 05:57,,departure,
QR 8411_2026-06-10,QR 8411,QTR,2026-06-10,05:45,DOH,Dep 06:41,,departure,
FX 5023_2026-06-10,FX 5023,FDX,2026-06-10,06:00,"IST,MEM",Dep 05:56,,departure,
MB 480_2026-06-10,MB 480,MNB,2026-06-10,06:00,"SHJ,IST",Dep 15:32,,departure,
SR 815_2026-06-10,SR 815,XKY,2026-06-10,06:15,CRK,Dep 06:30,,departure,
K4 253_2026-06-10,K4 253,CKS,2026-06-10,06:40,"YHM,JFK,CVG",Dep 06:51,,departure,
D0 591_2026-06-10,D0 591,DHK,2026-06-10,06:40,"DEL,EMA",Dep 06:46,,departure,
CP 166_2026-06-10,CP 166,LSI,2026-06-10,06:45,"GYD,MXP",Dep 06:43,,departure,
3S 711_2026-06-10,3S 711,BOX,2026-06-10,06:50,LEJ,Dep 07:03,,departure,
K4 243_2026-06-10,K4 243,CKS,2026-06-10,07:00,"ANC,MIA,CVG",Dep 07:07,,departure,
RH 331_2026-06-10,RH 331,HKC,2026-06-10,07:00,BKK,Dep 11:27,,departure,
HE 772_2026-06-10,HE 772,HGO,2026-06-10,07:00,"CIT,EMA",Dep 07:15,,departure,
SV 985_2026-06-10,SV 985,SVA,2026-06-10,07:00,RUH,Cancelled,,departure,
CK 264_2026-06-10,CK 264,CKK,2026-06-10,07:00,CKG,Cancelled,,departure,
ET 3767_2026-06-10,ET 3767,ETH,2026-06-10,07:10,LGG,Cancelled,,departure,
Z7 322_2026-06-10,Z7 322,CMS,2026-06-10,07:30,"ALA,TBS",Cancelled,,departure,
CX 2075_2026-06-10,CX 2075,CPA,2026-06-10,08:15,SIN,Dep 08:28,,departure,
EK 9851_2026-06-10,EK 9851,UAE,2026-06-10,08:20,DWC,Cancelled,,departure,
3S 515_2026-06-10,3S 515,BOX,2026-06-10,08:30,LEJ,Dep 08:39,,departure,
RH 371_2026-06-10,RH 371,HKC,2026-06-10,08:40,SIN,Dep 12:49,,departure,
5Y 8030_2026-06-10,5Y 8030,GTI,2026-06-10,08:50,"ANC,MIA",Dep 17:03,,departure,
T8 4721_2026-06-10,T8 4721,TVR,2026-06-10,08:55,MEL,Dep 08:58,,departure,
5Y 3093_2026-06-10,5Y 3093,GTI,2026-06-10,09:20,OTP,Dep 09:16,,departure,
KJ 952_2026-06-10,KJ 952,AIH,2026-06-10,09:20,ICN,Dep 08:52,,departure,
K4 702_2026-06-10,K4 702,CKS,2026-06-10,09:30,"DWC,TLV",Dep 08:30 (13/06/2026),,departure,
QR 8403_2026-06-10,QR 8403,QTR,2026-06-10,09:35,DOH,Dep 10:50,,departure,
O3 268_2026-06-10,O3 268,CSS,2026-06-10,09:55,NGB,Dep 09:53,,departure,
QY 517_2026-06-10,QY 517,BCS,2026-06-10,10:00,"ALA,LEJ",Dep 13:40,,departure,
5X 067_2026-06-10,5X 067,UPS,2026-06-10,10:15,"ANC,SDF",Dep 10:06,,departure,
CX 3174_2026-06-10,CX 3174,CPA,2026-06-10,10:25,"ANC,MIA,ATL",Dep 10:39,,departure,
CV 515_2026-06-10,CV 515,CLX,2026-06-10,10:35,"GYD,BUD,LUX",Dep 15:36,,departure,
CX 3241_2026-06-10,CX 3241,CPA,2026-06-10,10:45,CGK,Dep 10:59,,departure,
TK 6299_2026-06-10,TK 6299,THY,2026-06-10,11:15,IST,Dep 11:37,,departure,
5X 003_2026-06-10,5X 003,UPS,2026-06-10,11:25,"CGN,PHL",Dep 11:19,,departure,
CC 4030_2026-06-10,CC 4030,ABD,2026-06-10,11:50,"CMB,JNB",Dep 14:13,,departure,
3V 952_2026-06-10,3V 952,TAY,2026-06-10,12:20,"ALA,LGG",Dep 18:28,,departure,
3S 517_2026-06-10,3S 517,BOX,2026-06-10,12:20,LEJ,Dep 15:59,,departure,
QY 675_2026-06-10,QY 675,BCS,2026-06-10,12:20,ALA,Dep 12:11,,departure,
3V 400_2026-06-10,3V 400,TAY,2026-06-10,12:25,"ALA,LGG",Dep 12:25,,departure,
5Y 8131_2026-06-10,5Y 8131,GTI,2026-06-10,12:35,"DEL,ANC",Cancelled,,departure,
2G 102_2026-06-10,2G 102,HUA,2026-06-10,12:45,"HSA,BUD",Dep 14:08,,departure,
CV 261_2026-06-10,CV 261,CLX,2026-06-10,13:00,"ANC,MIA,JFK,LUX",Dep 13:57,,departure,
RH 392_2026-06-10,RH 392,HKC,2026-06-10,13:10,"CIT,BUD",Dep 21:32,,departure,
KJ 970_2026-06-10,KJ 970,AIH,2026-06-10,13:15,ICN,Dep 13:34,,departure,
QR 8465_2026-06-10,QR 8465,QTR,2026-06-10,13:15,DOH,Dep 13:20,,departure,
CX 3294_2026-06-10,CX 3294,CPA,2026-06-10,13:30,"ANC,JFK",Dep 13:30,,departure,
EK 9859_2026-06-10,EK 9859,UAE,2026-06-10,14:00,DWC,Dep 05:15 (11/06/2026),,departure,
CX 2086_2026-06-10,CX 2086,CPA,2026-06-10,14:25,"ANC,MIA",Dep 15:39,,departure,
WW 862_2026-06-10,WW 862,KXP,2026-06-10,14:45,KUL,Cancelled,,departure,
EK 9781_2026-06-10,EK 9781,UAE,2026-06-10,14:45,DWC,Dep 14:46,,departure,
EY 9726_2026-06-10,EY 9726,ETD,2026-06-10,14:50,AUH,Dep 15:16,,departure,
CX 045_2026-06-10,CX 045,CPA,2026-06-10,15:20,BOM,Dep 17:15,,departure,
KZ 206_2026-06-10,KZ 206,NCA,2026-06-10,15:30,NRT,Dep 16:07,,departure,
5X 001_2026-06-10,5X 001,UPS,2026-06-10,15:40,CGN,Cancelled,,departure,
K4 270_2026-06-10,K4 270,CKS,2026-06-10,15:55,"DWC,LGG",Dep 08:56 (11/06/2026),,departure,
RH 317_2026-06-10,RH 317,HKC,2026-06-10,15:55,HAN,Dep 06:39 (11/06/2026),,departure,
5X 061_2026-06-10,5X 061,UPS,2026-06-10,16:05,"TPE,ANC,SDF",Dep 16:43,,departure,
P9 881_2026-06-10,P9 881,MGE,2026-06-10,16:10,GUM,Cancelled,,departure,
5X 166_2026-06-10,5X 166,UPS,2026-06-10,16:10,"SIN,SDF",Dep 16:09,,departure,
ET 3629_2026-06-10,ET 3629,ETH,2026-06-10,16:15,ADD,Dep 14:33,,departure,
CX 3037_2026-06-10,CX 3037,CPA,2026-06-10,16:15,HAN,Dep 16:53,,departure,
3S 519_2026-06-10,3S 519,BOX,2026-06-10,17:00,LEJ,Dep 17:33,,departure,
RH 9375_2026-06-10,RH 9375,HKC,2026-06-10,17:00,MAA,Dep 17:17 (11/06/2026),,departure,
CX 041_2026-06-10,CX 041,CPA,2026-06-10,17:05,DEL,Dep 17:24,,departure,
7L 923_2026-06-10,7L 923,AZG,2026-06-10,17:20,GYD,Dep 23:08,,departure,
SV 975_2026-06-10,SV 975,SVA,2026-06-10,17:30,JED,Cancelled,,departure,
5C 850_2026-06-10,5C 850,ICL,2026-06-10,17:30,"DWC,TLV",Dep 18:14,,departure,
KE 8314_2026-06-10,KE 8314,KAL,2026-06-10,17:30,ICN,Dep 17:12,,departure,
SQ 7988_2026-06-10,SQ 7988,SIA,2026-06-10,17:35,"ANC,LAX",Dep 21:34,,departure,
RH 9457_2026-06-10,RH 9457,HKC,2026-06-10,18:10,DEL,Dep 18:16,,departure,
7L 1923_2026-06-10,7L 1923,AZG,2026-06-10,18:20,GYD,Cancelled,,departure,
LH 8461_2026-06-10,LH 8461,GEC,2026-06-10,18:25,"IST,FRA",Dep 18:44,,departure,
7L 624_2026-06-10,7L 624,AZG,2026-06-10,18:25,GYD,Cancelled,,departure,
CX 3349_2026-06-10,CX 3349,CPA,2026-06-10,18:40,BKK,Dep 18:46,,departure,
QR 8471_2026-06-10,QR 8471,QTR,2026-06-10,18:40,DOH,Dep 19:00,,departure,
2U 8021_2026-06-10,2U 8021,FKH,2026-06-10,18:50,NQZ,Dep 18:39,,departure,
5Y 825_2026-06-10,5Y 825,GTI,2026-06-10,19:00,"ANC,MIA",Dep 19:07,,departure,
5X 063_2026-06-10,5X 063,UPS,2026-06-10,19:05,"ANC,SDF",Dep 19:19,,departure,
CI 6844_2026-06-10,CI 6844,CAL,2026-06-10,19:20,TPE,Dep 20:16,,departure,
CV 245_2026-06-10,CV 245,CLX,2026-06-10,19:25,"ANC,NLU,GDL,LUX",Dep 19:05,,departure,
MH 6103_2026-06-10,MH 6103,MAS,2026-06-10,19:40,KUL,Dep 19:40,,departure,
CT 131_2026-06-10,CT 131,AAE,2026-06-10,19:40,"KGF,PRG",Dep 19:52,,departure,
TH 6825_2026-06-10,TH 6825,RMY,2026-06-10,19:45,KUL,Dep 20:02,,departure,
AK 8546_2026-06-10,AK 8546,AXM,2026-06-10,19:45,KUL,Dep 23:12,,departure,
