flight_id,flight_no,airline,date,time,destination,status,status_code,flight_type,last_updated
3S 728_2026-07-15,3S 728,BOX,2026-07-15,07:20,,At gate 15:38,,departure,2026-07-15T15:39:21+08:00
KJ 952_2026-07-15,KJ 952,AIH,2026-07-15,07:20,,At gate 11:04,,departure,2026-07-15T15:39:21+08:00
QY 516_2026-07-15,QY 516,BCS,2026-07-15,07:55,,Est at 18:25,,departure,2026-07-15T15:39:21+08:00
T8 4714_2026-07-15,T8 4714,TVR,2026-07-15,08:05,,At gate 10:23,,departure,2026-07-15T15:39:21+08:00
CX 3253_2026-07-15,CX 3253,CPA,2026-07-15,08:05,,Est at 16:38,,departure,2026-07-15T15:39:21+08:00
5X 067_2026-07-15,5X 067,UPS,2026-07-15,08:15,,At gate 08:14,,departure,2026-07-15T15:39:21+08:00
CV 9932_2026-07-15,CV 9932,CLX,2026-07-15,08:35,,At gate 08:28,,departure,2026-07-15T15:39:21+08:00
CX 3239_2026-07-15,CX 3239,CPA,2026-07-15,08:35,,At gate 13:49,,departure,2026-07-15T15:39:21+08:00
O3 267_2026-07-15,O3 267,CSS,2026-07-15,08:45,,At gate 08:50,,departure,2026-07-15T15:39:21+08:00
5Y 9047_2026-07-15,5Y 9047,GTI,2026-07-15,08:45,,At gate 13:45,,departure,2026-07-15T15:39:21+08:00
CX 3144_2026-07-15,CX 3144,CPA,2026-07-15,09:25,,At gate 09:32,,departure,2026-07-15T15:39:21+08:00
3V 401_2026-07-15,3V 401,TAY,2026-07-15,09:25,,Est at 18:34,,departure,2026-07-15T15:39:21+08:00
5Y 8131_2026-07-15,5Y 8131,GTI,2026-07-15,09:40,,Cancelled,,departure,2026-07-15T15:39:21+08:00
5C 851_2026-07-15,5C 851,ICL,2026-07-15,10:50,,At gate 11:12,,departure,2026-07-15T15:39:21+08:00
CV 4802_2026-07-15,CV 4802,CLX,2026-07-15,10:55,,At gate 10:56,,departure,2026-07-15T15:39:21+08:00
KJ 969_2026-07-15,KJ 969,AIH,2026-07-15,11:15,,At gate 11:36,,departure,2026-07-15T15:39:21+08:00
7L 147_2026-07-15,7L 147,AZG,2026-07-15,11:15,,At gate 13:20,,departure,2026-07-15T15:39:21+08:00
EK 9858_2026-07-15,EK 9858,UAE,2026-07-15,12:00,,Est at 16:49,,departure,2026-07-15T15:39:21+08:00
TK 6127_2026-07-15,TK 6127,THY,2026-07-15,12:05,,At gate 12:17,,departure,2026-07-15T15:39:21+08:00
K4 270_2026-07-15,K4 270,CKS,2026-07-15,12:05,,At gate 10:54,,departure,2026-07-15T15:39:21+08:00
K4 550_2026-07-15,K4 550,CKS,2026-07-15,12:15,,At gate 11:18,,departure,2026-07-15T15:39:21+08:00
F5 9912_2026-07-15,F5 9912,ATG,2026-07-15,12:30,,At gate 13:05,,departure,2026-07-15T15:39:21+08:00
5X 167_2026-07-15,5X 167,UPS,2026-07-15,12:40,,At gate 12:19,,departure,2026-07-15T15:39:21+08:00
EK 9780_2026-07-15,EK 9780,UAE,2026-07-15,12:45,,At gate 13:25,,departure,2026-07-15T15:39:21+08:00
2U 8010_2026-07-15,2U 8010,FKH,2026-07-15,12:50,,At gate 12:34,,departure,2026-07-15T15:39:21+08:00
QR 8464_2026-07-15,QR 8464,QTR,2026-07-15,12:50,,At gate 12:39,,departure,2026-07-15T15:39:21+08:00
5X 062_2026-07-15,5X 062,UPS,2026-07-15,12:55,,At gate 12:25,,departure,2026-07-15T15:39:21+08:00
KZ 209_2026-07-15,KZ 209,NCA,2026-07-15,13:35,,At gate 14:04,,departure,2026-07-15T15:39:21+08:00
EY 9725_2026-07-15,EY 9725,ETD,2026-07-15,13:40,,At gate 14:37,,departure,2026-07-15T15:39:21+08:00
WW 861_2026-07-15,WW 861,KXP,2026-07-15,13:45,,Cancelled,,departure,2026-07-15T15:39:21+08:00
LH 8450_2026-07-15,LH 8450,GEC,2026-07-15,14:30,,At gate 14:54,,departure,2026-07-15T15:39:21+08:00
5X 058_2026-07-15,5X 058,UPS,2026-07-15,14:35,,At gate 15:06,,departure,2026-07-15T15:39:21+08:00
ET 3618_2026-07-15,ET 3618,ETH,2026-07-15,14:45,,Est at 17:03,,departure,2026-07-15T15:39:21+08:00
7L 922_2026-07-15,7L 922,AZG,2026-07-15,14:50,,Cancelled,,departure,2026-07-15T15:39:21+08:00
3S 592_2026-07-15,3S 592,BOX,2026-07-15,15:00,,At gate 14:50,,departure,2026-07-15T15:39:21+08:00
CX 015_2026-07-15,CX 015,CPA,2026-07-15,15:05,,Landed 15:31,,departure,2026-07-15T15:39:21+08:00
RH 332_2026-07-15,RH 332,HKC,2026-07-15,15:10,,Est at 13:25 (16/07/2026),,departure,2026-07-15T15:39:21+08:00
CT 123_2026-07-15,CT 123,AAE,2026-07-15,15:20,,Cancelled,,departure,2026-07-15T15:39:21+08:00
KE 8313_2026-07-15,KE 8313,KAL,2026-07-15,15:30,,At gate 15:16,,departure,2026-07-15T15:39:21+08:00
SQ 7988_2026-07-15,SQ 7988,SIA,2026-07-15,15:35,,Landed 15:25,,departure,2026-07-15T15:39:21+08:00
7L 624_2026-07-15,7L 624,AZG,2026-07-15,15:55,,Cancelled,,departure,2026-07-15T15:39:21+08:00
5X 064_2026-07-15,5X 064,UPS,2026-07-15,16:00,,Est at 17:17,,departure,2026-07-15T15:39:21+08:00
7L 1922_2026-07-15,7L 1922,AZG,2026-07-15,16:05,,Cancelled,,departure,2026-07-15T15:39:21+08:00
5Y 825_2026-07-15,5Y 825,GTI,2026-07-15,16:25,,,,departure,2026-07-15T15:39:21+08:00
SQ 7862_2026-07-15,SQ 7862,SIA,2026-07-15,16:30,,Est at 16:26,,departure,2026-07-15T15:39:21+08:00
CV 1632_2026-07-15,CV 1632,CLX,2026-07-15,16:50,,Est at 16:58,,departure,2026-07-15T15:39:21+08:00
CV 4162_2026-07-15,CV 4162,CLX,2026-07-15,16:50,,Cancelled,,departure,2026-07-15T15:39:21+08:00
TK 6238_2026-07-15,TK 6238,THY,2026-07-15,17:05,,Est at 07:10 (16/07/2026),,departure,2026-07-15T15:39:21+08:00
FX 5991_2026-07-15,FX 5991,FDX,2026-07-15,17:10,,Est at 16:40,,departure,2026-07-15T15:39:21+08:00
CI 6843_2026-07-15,CI 6843,CAL,2026-07-15,17:20,,,,departure,2026-07-15T15:39:21+08:00
MH 6102_2026-07-15,MH 6102,MAS,2026-07-15,17:40,,Est at 18:15 (16/07/2026),,departure,2026-07-15T15:39:21+08:00
AK 8545_2026-07-15,AK 8545,AXM,2026-07-15,18:15,,Est at 21:10,,departure,2026-07-15T15:39:21+08:00
WW 865_2026-07-15,WW 865,KXP,2026-07-15,18:35,,Cancelled,,departure,2026-07-15T15:39:21+08:00
CX 2074_2026-07-15,CX 2074,CPA,2026-07-15,18:35,,Est at 18:26,,departure,2026-07-15T15:39:21+08:00
TH 640_2026-07-15,TH 640,RMY,2026-07-15,18:40,,Est at 17:05,,departure,2026-07-15T15:39:21+08:00
F5 9720_2026-07-15,F5 9720,ATG,2026-07-15,18:45,,Cancelled,,departure,2026-07-15T15:39:21+08:00
CI 5833_2026-07-15,CI 5833,CAL,2026-07-15,19:20,,Est at 19:40,,departure,2026-07-15T15:39:21+08:00
